MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	16.420898	s	10/19/2023 3:22:53 PM
Time	Ch 1 LVDT	Ch 1 Force
s	mm	N
0.109375	0.013103485	2.5660357
0.20898438	0.015324354	4.6967854
0.30859375	0.016797781	7.7047501
0.40820313	0.024601221	12.198847
0.5078125	0.035119057	22.303925
0.60742188	0.048083067	35.23444
0.70703125	0.05895853	44.821503
0.80664063	0.068571568	52.842186
0.90625	0.077286959	58.741257
1.0058594	0.08372426	65.148445
1.1054688	0.090386868	70.727226
1.2050781	0.098669529	75.337334
1.3046875	0.10378361	81.133934
1.4042969	0.11171579	86.91658
1.5039063	0.11979461	93.809921
1.6035156	0.12854576	100.69631
1.703125	0.13937831	110.35918
1.8027344	0.14966369	118.51373
1.9023438	0.15755653	125.47894
2.0019531	0.16572118	131.22562
2.1015625	0.17534852	136.99969
2.2011719	0.18213987	143.42517
2.3007813	0.18976808	150.14499
2.4003906	0.19799709	157.41142
2.5	0.20830393	164.52795
2.5996094	0.21654725	170.4323
2.6992188	0.22414684	177.09898
2.7988281	0.23265123	183.63704
2.8984375	0.24142027	190.67325
2.9980469	0.24929523	197.34576
3.0976563	0.25752425	203.66394
3.1972656	0.2668047	210.5659
3.296875	0.27421117	216.62157
3.3964844	0.2831912	223.59941
3.4960938	0.29354095	229.7034
3.5957031	0.29812932	235.58011
3.6953125	0.30629039	241.2861
3.7949219	0.31528831	247.53323
3.8945313	0.32321334	253.81613
3.9941406	0.33174634	260.88129
4.09375	0.34168124	268.43738
4.1933594	0.35063982	275.1442
4.2929688	0.35734534	281.17667
4.3925781	0.36652207	286.92123
4.4921875	0.3756237	293.03293
4.5917969	0.3841424	298.79712
4.6914063	0.39160252	305.97415
4.7910156	0.40021062	312.16492
4.890625	0.40843606	318.01797
4.9902344	0.41646838	323.36777
5.0898438	0.4249692	329.07407
5.1894531	0.43261886	335.59409
5.2890625	0.44383407	345.13602
5.3886719	0.45414805	352.90988
5.4882813	0.46340346	359.43539
5.5878906	0.47157168	364.65729
5.6875	0.47918558	369.38
5.7871094	0.4839313	374.20615
5.8867188	0.49094439	379.45935
5.9863281	0.50008178	385.68591
6.0859375	0.5078423	391.25833
6.1855469	0.51534891	397.10425
6.2851563	0.52204013	402.79755
6.3847656	0.53254008	407.8483
6.484375	0.53888083	413.85196
6.5839844	0.54793596	419.82507
6.6835938	0.55706978	426.85101
6.7832031	0.56719065	433.56204
6.8828125	0.57525516	440.21036
6.9824219	0.58330536	445.83475
7.0820313	0.59152365	451.65729
7.1816406	0.59904099	456.73727
7.28125	0.60653329	462.50235
7.3808594	0.61414361	468.31894
7.4804688	0.62351346	473.7486
7.5800781	0.63171029	480.2493
7.6796875	0.63937783	486.60953
7.7792969	0.65027118	492.59961
7.8789063	0.6552422	497.60834
7.9785156	0.6641078	502.7511
8.078125	0.67203283	508.34198
8.1777344	0.6810987	514.52856
8.2773438	0.68927765	520.89368
8.3769531	0.6997776	527.8905
8.4765625	0.70847154	534.46497
8.5761719	0.7193327	540.72699
8.6757813	0.72658181	546.18018
8.7753906	0.73376656	551.22858
8.875	0.74383736	556.99969
8.9746094	0.74975967	562.4942
9.0742188	0.75776339	568.091
9.1738281	0.76532364	573.28131
9.2734375	0.77406049	578.36646
9.3730469	0.78163505	583.48981
9.4726563	0.78906298	588.78979
9.5722656	0.79954505	597.16345
9.671875	0.80998063	603.02112
9.7714844	0.81774116	608.83881
9.8710938	0.82633495	613.72528
9.9707031	0.83174229	618.83966
10.070313	0.84263206	624.37878
10.169922	0.85016727	629.35248
10.269531	0.85668683	634.26031
10.369141	0.86455822	639.65295
10.46875	0.87346673	645.00842
10.568359	0.88110566	649.9491
10.667969	0.88867664	655.39264
10.767578	0.89619398	660.74756
10.867188	0.90760946	667.76196
10.966797	0.91598511	673.80377
11.066406	0.92580557	679.25928
11.166016	0.9345603	684.95306
11.265625	0.94408751	691.74219
11.365234	0.95253468	697.17969
11.464844	0.96038461	702.07056
11.564453	0.96814513	706.6217
11.664063	0.97556949	710.62952
11.763672	0.98163486	715.01685
11.863281	0.98979592	719.85632
11.962891	0.99763155	725.17932
12.0625	1.0526204	7.7339611
12.162109	1.0399675	8.4846373
12.261719	1.0526669	8.1504021
12.361328	1.059866	8.2681255
12.460938	1.0672796	8.0665836
12.560547	1.0748005	7.9717283
12.660156	1.0833299	8.1075277
12.759766	1.0902822	8.0938873
12.859375	1.098057	7.9379835
12.958984	1.1072481	8.0747824
13.058594	1.1153734	8.3665228
13.158203	1.1233199	8.3093023
13.257813	1.1325717	7.7600007
13.357422	1.1393344	8.0926361
13.457031	1.1463296	8.3558426
13.556641	1.1541438	7.9776998
13.65625	1.1613607	8.1145906
13.755859	1.1717248	7.8391609
13.855469	1.1779904	8.3675976
13.955078	1.186924	8.3906412
14.054688	1.1957538	7.9759955
14.154297	1.2043226	8.0729532
14.253906	1.2119043	8.14816
14.353516	1.2222111	8.162549
