MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	102.01172	s	10/19/2023 3:07:35 PM
Time	Ch 1 LVDT	Ch 1 Force
s	mm	N
0.11035156	-0.0022101402	-0.7439009
0.20996094	-0.0014734268	4.0320168
0.30957031	0.00090837479	11.47261
0.40917969	0.0028645992	26.020493
0.50878906	0.016483068	94.792984
0.60839844	0.026843548	145.64081
0.70800781	0.03336668	179.64932
0.80761719	0.041241646	214.25085
0.90722656	0.050218105	256.73431
1.0068359	0.057313442	293.81427
1.1064453	0.06765604	325.59451
1.2060547	0.073796511	352.76187
1.3056641	0.080730915	388.03625
1.4052734	0.093108416	429.86612
1.5048828	0.10088682	456.70013
1.6044922	0.1069665	480.89322
1.7041016	0.11762381	509.30624
1.8037109	0.12710452	540.13208
1.9033203	0.13573766	562.47699
2.0029297	0.14124513	580.90234
2.1025391	0.14796495	596.95044
2.2021484	0.15749931	620.34827
2.3017578	0.16676188	644.47034
2.4013672	0.17516613	664.6524
2.5009766	0.18520832	680.61017
2.6005859	0.19157052	694.98181
2.7001953	0.19791126	711.88733
2.7998047	0.20838976	728.9978
2.8994141	0.21707296	744.8186
2.9990234	0.22589207	758.11676
3.0986328	0.23473978	769.32819
3.1982422	0.2412343	780.0069
3.2978516	0.24942398	789.43317
3.3974609	0.25942683	800.20624
3.4970703	0.26637554	810.66492
3.5966797	0.27572751	818.29962
3.6962891	0.28490067	825.52051
3.7958984	0.29143453	832.34906
3.8955078	0.29986024	839.42322
3.9951172	0.30769944	845.70239
4.0947266	0.31614661	852.0495
4.1943359	0.32543421	857.41504
4.2939453	0.3314209	860.7356
4.3935547	0.33990741	866.08337
4.4931641	0.34842253	871.16028
4.5927734	0.35749555	875.56903
4.6923828	0.36510944	879.39178
4.7919922	0.37656784	882.94464
4.8916016	0.38206816	886.07343
4.9912109	0.39112687	888.69171
5.0908203	0.40045023	890.92926
5.1904297	0.40713429	893.06146
5.2900391	0.41454434	895.93622
5.3896484	0.42436838	898.41962
5.4892578	0.43320179	900.69733
5.5888672	0.44219613	903.10675
5.6884766	0.45087218	905.44641
5.7880859	0.46003461	907.18909
5.8876953	0.46795607	908.64526
5.9873047	0.47957182	909.7876
6.0869141	0.48678875	911.23724
6.1865234	0.49509645	912.34253
6.2861328	0.50277472	914.12012
6.3857422	0.51184058	914.77179
6.4853516	0.52034497	916.11877
6.5849609	0.52852392	917.83472
6.6845703	0.53611994	917.90723
6.7841797	0.5447495	919.65613
6.8837891	0.55362582	920.62878
6.9833984	0.56146145	922.88757
7.0830078	0.57303429	923.25861
7.1826172	0.58171749	923.48706
7.2822266	0.59014678	924.27588
7.3818359	0.59832931	924.81476
7.4814453	0.60722709	925.70392
7.5810547	0.61474442	926.30585
7.6806641	0.62477589	926.87848
7.7802734	0.63102365	927.50073
7.8798828	0.64022899	928.19659
7.9794922	0.64826131	928.46979
8.0791016	0.65625787	929.39233
8.1787109	0.6641829	929.74225
8.2783203	0.67263365	930.51868
8.3779297	0.68129897	931.31677
8.4775391	0.68946004	932.41119
8.5771484	0.69959879	932.84644
8.6767578	0.70855379	933.19391
8.7763672	0.71699739	933.36035
8.8759766	0.72474718	933.6864
8.9755859	0.73270798	934.68665
9.0751953	0.7405901	934.98651
9.1748047	0.7501173	934.90814
9.2744141	0.75769901	935.95898
9.3740234	0.7657063	936.146
9.4736328	0.77397466	936.37451
9.5732422	0.78198195	937.58344
9.6728516	0.78997493	937.7403
9.7724609	0.79883337	938.02863
9.8720703	0.8061254	938.21088
9.9716797	0.8156991	939.40656
10.071289	0.82406044	939.68585
10.170898	0.83208561	940.06372
10.270508	0.84113002	940.71149
10.370117	0.8491981	940.62115
10.469727	0.85731626	941.09747
10.569336	0.86658239	941.69019
10.668945	0.87338448	942.24652
10.768555	0.88357687	942.67297
10.868164	0.89257121	943.08356
10.967773	0.90147257	943.85406
11.067383	0.9104383	943.6391
11.166992	0.91890693	943.90106
