MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	102.01172	s	10/19/2023 3:16:12 PM
Time	Ch 1 LVDT	Ch 1 Force
s	mm	N
0.11035156	0.021429062	2.5666645
0.20996094	0.022369623	8.5158319
0.30957031	0.022433996	16.892817
0.40917969	0.024307966	45.698956
0.50878906	0.031599998	159.57213
0.60839844	0.044353008	303.41165
0.70800781	0.052621365	397.65237
0.80761719	0.057370663	479.47879
0.90722656	0.065563917	568.9057
1.0068359	0.074222088	672.42328
1.1064453	0.080759525	755.11237
1.2060547	0.089564323	827.9361
1.3056641	0.096502304	903.8974
1.4052734	0.10476708	981.16327
1.5048828	0.11280298	1056.8809
1.6044922	0.12322783	1113.6707
1.7041016	0.1288569	1156.3479
1.8037109	0.13490796	1201.9933
1.9033203	0.1450789	1269.0737
2.0029297	0.15409827	1317.4039
2.1025391	0.16284585	1341.3391
2.2021484	0.1696372	1371.8737
2.3017578	0.17877817	1409.8519
2.4013672	0.18846631	1429.7985
2.5009766	0.19797206	1441.868
2.6005859	0.20553231	1452.6555
2.7001953	0.21380067	1460.1199
2.7998047	0.22027373	1470.4482
2.8994141	0.22983313	1482.399
2.9990234	0.23777962	1491.6317
3.0986328	0.24745703	1504.4244
3.1982422	0.25692344	1508.5646
3.2978516	0.26732683	1512.9294
3.3974609	0.27419329	1515.4459
3.4970703	0.28251529	1517.1042
3.5966797	0.2912271	1521.3101
3.6962891	0.30029297	1523.9305
3.7958984	0.30709863	1528.698
3.8955078	0.31552434	1534.5135
3.9951172	0.32422543	1538.8062
4.0947266	0.33316255	1543.9683
4.1943359	0.34390569	1550.3773
4.2939453	0.35356164	1549.5034
4.3935547	0.36026716	1551.4496
4.4931641	0.36930799	1552.6074
4.5927734	0.3775692	1554.6443
4.6923828	0.38610578	1556.1725
4.7919922	0.39461374	1557.4767
4.8916016	0.40234208	1560.0188
4.9912109	0.41033864	1561.543
5.0908203	0.41956186	1565.27
5.1904297	0.42720795	1567.78
5.2900391	0.43595195	1572.0592
5.3896484	0.44390559	1573.6321
5.4892578	0.45284271	1574.9708
5.5888672	0.45945883	1577.4506
5.6884766	0.46807766	1579.3055
5.7880859	0.47698975	1582.6324
5.8876953	0.48630953	1587.7386
5.9873047	0.49404144	1590.3545
6.0869141	0.5057323	1592.9019
6.1865234	0.51380754	1593.7747
6.2861328	0.5231595	1594.1385
6.3857422	0.53156018	1597.6121
6.4853516	0.54109454	1597.0138
6.5849609	0.5502069	1598.2983
6.6845703	0.55787086	1600.0774
6.7841797	0.56534529	1601.4905
6.8837891	0.57352066	1602.4253
6.9833984	0.58066607	1604.8925
7.0830078	0.58870554	1608.7388
7.1826172	0.59736729	1610.8296
7.2822266	0.60531378	1616.7882
7.3818359	0.61552405	1617.8339
7.4814453	0.62321663	1620.5823
7.5810547	0.63246489	1622.0149
7.6806641	0.64036489	1623.2256
7.7802734	0.64983845	1625.5901
7.8798828	0.65813541	1626.0649
7.9794922	0.66595674	1627.2264
8.0791016	0.67476869	1629.5796
8.1787109	0.68302631	1630.7091
8.2783203	0.69211006	1632.0233
8.3779297	0.70016026	1634.8448
8.4775391	0.70750594	1635.9063
8.5771484	0.71525574	1637.3705
8.6767578	0.7234633	1643.7128
8.7763672	0.73361993	1647.5424
8.8759766	0.74213505	1649.2861
8.9755859	0.75146914	1649.585
9.0751953	0.76021671	1653.4846
9.1748047	0.77020168	1654.3588
9.2744141	0.77868104	1653.7367
9.3740234	0.78684211	1654.9351
9.4736328	0.79724193	1656.2727
9.5732422	0.80229521	1657.3325
9.6728516	0.81145406	1658.6779
9.7724609	0.81884623	1659.8015
9.8720703	0.82644939	1662.0946
9.9716797	0.83506107	1664.5865
10.071289	0.84319711	1666.325
10.170898	0.85051417	1668.8062
10.270508	0.86020947	1672.3682
10.370117	0.86671472	1678.4763
10.469727	0.87766886	1679.0306
10.569336	0.88708162	1681.6646
10.668945	0.8959794	1682.2804
10.768555	0.90448737	1682.2867
10.868164	0.91199398	1684.3553
10.967773	0.92257977	1685.4149
11.067383	0.930444	1685.9619
11.166992	0.93864441	1688.5698
11.266602	0.9458077	1689.6797
11.366211	0.95386863	1690.8346
11.46582	0.96213698	1694.0824
11.56543	0.97078443	1694.963
11.665039	0.97872734	1696.0322
11.764648	0.98850489	1697.3359
11.864258	0.99441648	1699.4104
11.963867	1.0029709	1700.6439
12.063477	1.0096693	1706.2588
12.163086	1.0200834	1707.9457
12.262695	1.0266101	1708.5665
12.362305	1.0360086	1708.9548
12.461914	1.0441053	1712.0945
12.561523	1.0533214	1714.5326
12.661133	1.0609639	1715.8972
12.760742	1.0708451	1720.9022
12.860352	1.0795605	1723.6411
12.959961	1.0900605	1723.0706
13.05957	1.0974741	1723.9802
13.15918	1.1072767	1724.0555
13.258789	1.1140251	1725.2671
13.358398	1.1217535	1726.4261
13.458008	1.1305082	1727.1093
13.557617	1.1389232	1728.9509
13.657227	1.1459684	1729.3971
13.756836	1.154058	1731.8967
13.856445	1.1619687	1734.4312
13.956055	1.1697078	1735.6125
14.055664	1.1796641	1737.6857
14.155273	1.185776	1739.7578
14.254883	1.193254	1741.7993
14.354492	1.2017012	1744.0223
14.454102	1.2099016	1752.0511
14.553711	1.2208986	1755.4794
14.65332	1.2315309	1756.3088
14.75293	1.2423706	1755.8744
14.852539	1.2519944	1756.2131
14.952148	1.2579918	1756.4163
15.051758	1.2685919	1756.8805
15.151367	1.2770319	1757.9623
15.250977	1.2844563	1759.2899
15.350586	1.2928212	1759.2393
15.450195	1.3005638	1761.5032
15.549805	1.309315	1762.276
15.649414	1.3171828	1764.2618
15.749023	1.3240421	1766.5784
15.848633	1.3317239	1767.4469
15.948242	1.3400817	1769.4326
16.047852	1.3470876	1770.8101
16.147461	1.3561213	1772.7803
16.24707	1.3627017	1774.1727
16.34668	1.3709557	1776.1915
16.446289	1.378634	1777.9291
16.545898	1.3876033	1779.2778
16.645508	1.3958144	1782.7247
16.745117	1.4050019	1782.5125
16.844727	1.4135098	1784.5834
16.944336	1.4217997	1785.9907
17.043945	1.4291525	1788.5669
17.143555	1.4374709	1790.1628
17.243164	1.445843	1794.0792
17.342773	1.4542651	1795.255
17.442383	1.4649653	1795.9493
17.541992	1.4730978	1798.1953
17.641602	1.4815378	1799.6241
17.741211	1.4905608	1800.3949
17.84082	1.4995515	1800.8162
17.94043	1.5073943	1801.2113
18.040039	1.5153909	1803.2217
18.139648	1.5234017	1804.3402
18.239258	1.5318954	1805.0698
18.338867	1.5394342	1807.1218
18.438477	1.5478742	1810.0999
18.538086	1.55586	1811.6931
18.637695	1.5638602	1812.6304
18.737305	1.5720892	1814.1802
18.836914	1.5810978	1815.7122
18.936523	1.5891123	1817.0234
19.036133	1.5965688	1819.53
19.135742	1.6049051	1821.5739
19.235352	1.616056	1825.7512
19.334961	1.6245389	1825.7437
19.43457	1.6330934	1827.0846
19.53418	1.6418052	1828.031
19.633789	1.6509819	1828.0216
19.733398	1.6598332	1830.9254
19.833008	1.6686273	1832.2555
19.932617	1.676445	1832.0282
20.032227	1.6845024	1832.9952
20.131836	1.6923702	1833.8193
20.231445	1.7009747	1835.9929
20.331055	1.7103159	1836.2908
20.430664	1.7150724	1838.119
20.530273	1.724031	1838.9675
20.629883	1.7315161	1840.833
20.729492	1.7396235	1841.7736
20.829102	1.7474055	1843.424
20.928711	1.7559958	1844.4189
21.02832	1.762923	1846.548
21.12793	1.7709303	1847.705
21.227539	1.7794311	1849.4797
21.327148	1.7873812	1851.3894
21.426758	1.7949164	1852.7352
21.526367	1.8037856	1855.2446
21.625977	1.8124151	1857.1309
21.725586	1.8203723	1859.1688
21.825195	1.8305862	1861.4731
21.924805	1.838311	1863.5857
22.024414	1.8487966	1865.4246
22.124023	1.8568718	1866.6162
22.223633	1.8678582	1867.0806
22.323242	1.8744636	1867.1116
22.422852	1.8843699	1867.15
22.522461	1.8927383	1869.5823
22.62207	1.9012392	1870.1492
22.72168	1.9104016	1871.8669
22.821289	1.9180012	1872.754
22.920898	1.9260442	1873.6125
23.020508	1.9345737	1874.069
23.120117	1.9421303	1875.4092
23.219727	1.9507205	1876.5793
23.319336	1.9584239	1877.9312
23.418945	1.9651759	1878.5084
23.518555	1.9734442	1880.1742
23.618164	1.9795668	1881.5624
23.717773	1.9894981	1883.1302
23.817383	1.9986749	1884.9137
23.916992	2.0059812	1886.2644
24.016602	2.0126724	1887.3937
24.116211	2.0224571	1892.5115
24.21582	2.0326853	1898.3485
24.31543	2.0403671	1900.5033
24.415039	2.0512533	1900.4316
24.514648	2.0620143	1900.2036
24.614258	2.0719278	1899.7175
24.713867	2.0812833	1899.8229
24.813477	2.0916831	1901.0481
24.913086	2.0986354	1900.1189
25.012695	2.1061528	1900.6172
25.112305	2.1139455	1901.7527
25.211914	2.1218276	1902.1277
25.311523	2.1290588	1903.9188
25.411133	2.138114	1904.6014
25.510742	2.1437824	1905.663
25.610352	2.1524155	1906.9069
25.709961	2.1598935	1908.0624
25.80957	2.1676397	1908.2339
25.90918	2.1748531	1909.1764
26.008789	2.1828461	1911.7216
26.108398	2.1900702	1912.5338
26.208008	2.196604	1915.1541
26.307617	2.2043538	1915.7782
26.407227	2.2143674	1917.0717
26.506836	2.2210336	1919.0774
26.606445	2.2295344	1922.4818
26.706055	2.2383714	1923.2313
26.805664	2.2452557	1924.3201
26.905273	2.2539747	1925.7893
27.004883	2.2643995	1926.7012
27.104492	2.2714591	1926.9987
27.204102	2.279799	1927.8916
27.303711	2.2888827	1928.7383
27.40332	2.2962213	1930.587
27.50293	2.3051798	1932.1818
27.602539	2.3133945	1932.7623
27.702148	2.3216808	1934.0697
27.801758	2.3296523	1934.1627
27.901367	2.3372161	1935.8354
28.000977	2.3457384	1936.6001
28.100586	2.3551083	1937.6345
28.200195	2.3607337	1938.5546
28.299805	2.3697317	1940.0245
28.399414	2.3788762	1942.0424
28.499023	2.3856747	1943.1115
28.598633	2.394383	1944.8142
28.698242	2.402122	1946.0389
28.797852	2.4115562	1947.7292
28.897461	2.4178004	1948.3695
28.99707	2.4270093	1949.9233
29.09668	2.4376523	1951.4393
29.196289	2.4447048	1952.0538
29.295898	2.4532914	1954.1432
29.395508	2.4619281	1956.23
29.495117	2.4724317	1957.9916
29.594727	2.4817479	1962.6897
29.694336	2.4915147	1963.3427
29.793945	2.5020754	1963.7743
29.893555	2.5105762	1963.9092
29.993164	2.5178933	1962.9977
30.092773	2.5271559	1963.5785
30.192383	2.5370014	1963.4712
30.291992	2.5456846	1963.6586
30.391602	2.5533056	1964.8887
30.491211	2.5618243	1966.0166
30.59082	2.5690234	1966.3497
30.69043	2.5771201	1967.0327
30.790039	2.5860822	1967.818
30.889648	2.5916004	1969.0455
30.989258	2.5985312	1970.1151
31.088867	2.6074648	1971.2054
31.188477	2.6150608	1971.9136
31.288086	2.6224422	1974.0037
31.387695	2.6297271	1975.5974
31.487305	2.6387644	1977.4009
31.586914	2.6473224	1979.624
31.686523	2.6541388	1980.3536
31.786133	2.6629007	1981.9093
31.885742	2.6714516	1983.3607
31.985352	2.6812184	1983.9615
32.084961	2.6883173	1984.5345
32.18457	2.6970685	1986.536
32.28418	2.7059662	1987.5465
32.383789	2.7146709	1988.4518
32.483398	2.723583	1990.1002
32.583008	2.7301526	1990.8842
32.682617	2.7383208	1990.8252
32.782227	2.748878	1991.4648
32.881836	2.7570641	1992.2111
32.981445	2.765522	1993.4628
33.081055	2.7734613	1994.3538
33.180664	2.780292	1994.5264
33.280273	2.7898622	1995.3416
33.379883	2.7979624	1997.3737
33.479492	2.8061628	1997.8824
33.579102	2.8122818	1999.1718
33.678711	2.8200352	2002.2926
33.77832	2.8288472	2003.8025
33.87793	2.8383636	2003.6416
33.977539	2.8457665	2004.5809
34.077148	2.8542531	2005.274
34.176758	2.863816	2006.5892
34.276367	2.8729355	2007.4587
34.375977	2.8779745	2008.0106
34.475586	2.887491	2009.6108
34.575195	2.8967249	2011.3015
34.674805	2.9044425	2011.8398
34.774414	2.912761	2012.2933
34.874023	2.92261	2013.6547
34.973633	2.9293406	2014.8063
35.073242	2.9374266	2015.0626
35.172852	2.9462707	2015.6455
35.272461	2.9539204	2016.2341
35.37207	2.9601753	2016.9666
35.47168	2.9707146	2018.2415
35.571289	2.9767728	2019.8447
35.670898	2.9855669	2019.9025
35.770508	2.9943502	2021.9646
35.870117	3.0020821	2024.291
35.969727	3.0121994	2025.2618
36.069336	3.0177426	2025.7211
36.168945	3.0286896	2026.3629
36.268555	3.035903	2029.119
36.368164	3.0454373	2030.2296
36.467773	3.0539095	2031.9459
36.567383	3.0628645	2031.9189
36.666992	3.0706215	2032.4927
36.766602	3.0798948	2033.411
36.866211	3.0881953	2033.5391
36.96582	3.0961704	2033.6854
37.06543	3.1049609	2034.6858
37.165039	3.1125498	2035.5199
37.264648	3.1204534	2035.7289
37.364258	3.1291759	2037.5631
37.463867	3.1372583	2039.4692
37.563477	3.1448722	2040.6366
37.663086	3.1525612	2040.6849
37.762695	3.1620562	2041.1301
37.862305	3.1699419	2042.264
37.961914	3.1788433	2046.1976
38.061523	3.1862855	2046.1135
38.161133	3.1938779	2047.1375
38.260742	3.2048106	2046.2289
38.360352	3.213197	2047.6342
38.459961	3.2209039	2048.5696
38.55957	3.227731	2049.2061
38.65918	3.2374406	2049.6409
38.758789	3.2441926	2050.3796
38.858398	3.251245	2052.5627
